"id","title","body","created_at","updated_at"
"4118","macでアプリケーションの強制終了","<a href=""http://www.flickr.com/photos/komagata/3533230564/"" title=""アプリケーションの強制終了 by komagata, on Flickr""><img src=""http://farm4.static.flickr.com/3342/3533230564_44f915993a_o.png"" width=""371"" height=""315"" alt=""アプリケーションの強制終了"" /></a>

option ＋ command ＋ esc でアプリケーションの強制終了できたのか〜。いちいちkillしてて面倒だと思ってたんだよ！","2009-05-15 16:57:00","2009-05-15 17:42:56"
"4117","俺のブログより","<a href=""http://www.moongift.jp/2009/05/potage/"">MOONGIFT: » とにかくシンプルなブログエンジンが良い方は「Potage」:オープンソースを毎日紹介</a>

うわっ、こっちの方がいいじゃん・・・。","2009-05-14 01:41:00","2009-05-14 01:42:19"
"4116","テストしないと病院で栄養食たべるはめになる","自戒の意味を込めて。

<a href=""http://www.flickr.com/photos/komagata/3524383859/"" title=""kent-beck by komagata, on Flickr""><img src=""http://farm4.static.flickr.com/3633/3524383859_4414eb3315_o.png"" width=""264"" height=""300"" alt=""kent-beck"" /></a>","2009-05-13 13:11:00","2009-05-13 13:12:22"
"4106","ニコニコ動画おすすめ動画集","ニコニコ動画をよく見るというと、「手っ取り早く面白い動画を教えてほしい」ということをよく言われるのでおすすめ動画を並べておきます。

※おすすめマイリストを用意して逐次追加していくことにしました。

<iframe width=""312"" height=""176"" src=""http://ext.nicovideo.jp/thumb_mylist/12413084"" scrolling=""no"" style=""border:solid 1px #CCC;"" frameborder=""0""><a href=""http://www.nicovideo.jp/mylist/12413084"">【ニコニコ動画】おすすめ動画</a></iframe>","2009-04-29 01:25:00","2009-05-11 14:46:47"
"4115","いやな法則++","参照：<a href=""http://0xcc.net/misc/nasty-laws.html"">いやな法則</a>

*生産性*

* 前任者のコードは思っているほど汚くない。
* テストコードがたまった頃にもっと良いテストスイーツがでる。
* フレームワークのバージョンアップはうまく行かない。

*勉強*

* 習得に苦労した知識に固執する。
* 副業だけ評価される。
* 無駄な知識ほどのめりこむ。
* 軽視していた知識が評価される。

*決断*

* MSオフィス購入数はエンジニアが決めると失敗する。","2009-05-09 23:05:00","2009-05-09 23:18:56"
"4114","大量の本管理ソリューションのご提案","本の整理に関して一番ネックだったのが、

「読んだ事のある本の管理」

です。（持ってない物も含むので蔵書じゃない）

せっかく読んだんだから記録しておきたいんだけど、レビュー登録とか面倒。兎に角大量にあるし。

そこで今回試してみてとても良かったのが、<strong>皆様のどのご家庭にも一つは必ずある</strong>、<a href=""http://www.amazon.co.jp/exec/obidos/ASIN/B000923I4E/p0t-22"">USBバーコードリーダー</a>です。

<table><tr><td><a href=""http://www.amazon.co.jp/exec/obidos/ASIN/B000923I4E/p0t-22""><img src=""http://ecx.images-amazon.com/images/I/41DF0JHTRBL._SL160_.jpg"" width=""160"" height=""89"" alt=""エフケイシステム CCDバーコードリーダー USBインターフェイス TSK-U"" title=""エフケイシステム CCDバーコードリーダー USBインターフェイス TSK-U"" border=""0""/></a></td><td><ul><li><a href=""http://www.amazon.co.jp/exec/obidos/ASIN/B000923I4E/p0t-22"">エフケイシステム CCDバーコードリーダー USBインターフェイス TSK-U</a></li><li>レイ・アウト</li><li>レイ・アウト</li><li>定価：</li><li>新品価格：￥ 6,300</li><li>ASIN：B000923I4E</li></ul></td></tr></table>

USBバーコードリーダーはUSBキーボードとして認識され（MacもOK）、光を当てて読み取ると、ISBNそのままの文字列＋改行コード（¥r¥n）をキーボードから入力したのと同じになります。

つまり、Excelか何かを開いてピッピ、ピッピと読み取って行くとISBNコードの一覧ファイルが出来上がります。（改行コード入るのでエンター押す手間も無し）

<a href=""http://www.flickr.com/photos/komagata/3507254907/"" title=""book.csv - OpenOffice.org Calc by komagata, on Flickr""><img src=""http://farm4.static.flickr.com/3608/3507254907_d7556061df_o.png"" width=""264"" height=""276"" alt=""book.csv - OpenOffice.org Calc"" /></a>

兎に角ピッピと読み取りながら本をダンボールに詰めていきます。

これはもはや本屋の棚卸しに匹敵するほどのこれ以上ないスピード効率であると言えるでしょう。

勘の良いプログラマー諸氏のこと、この行志向ファイルがヘテロジーニアスな蔵書管理界で最もシンプルで信頼出来るフォーマットであることにはお気付きでしょう。

これと<a href=""http://www.goodreads.com/"">Goodreads</a>などの蔵書管理サービスAPIやISBN10-ISBN13相互変換ライブラリなどを組み合わせることで、このソリューションの安定性とスピードは全盛期のシューマッハを超えると言われています。

※下記がこのソリューションが解決する問題です。

参照：<a href=""http://docs.komagata.org/4113"">本棚オーバーフロー問題 - p0t</a>","2009-05-07 01:35:00","2009-05-07 02:05:05"
"4113","本棚オーバーフロー問題","<blockquote><a href=""http://chalow.net/2009-04-28-5.html"">[を] 本を捨てて図書館で借りよう！</a>

借りれば良い、ってのを飛躍させると「本を捨てて図書館で借りよう！」になるな。
この、「本を捨てて図書館で借りよう！」というのは
「コード片のコピペはやめてライブラリを使おう！」ってのと似ているね。
そもそもライブラリ＝図書館、だしね。</blockquote>

男でも引くぐらい部屋が深刻に狭い俺としてもこの問題にはがんばって取り組んでいます。

<blockquote><a href=""http://docs.komagata.org/1987"">本の整理術 - p0t</a>

「読んでない本を、残す。」</blockquote>

「４半期に１度読み終わった本は全て売る。」

これは一応機能しているんですが、４半期に１度、“全身に鞄を身につけブックオフを３往復する”のが余りにも辛い。（かなりブックオフ近いんだけど）

そこで、<a href=""http://www.bookoffonline.co.jp/files/embed/SellTop.html?cid=boc014"">ブックオフの宅本便</a>（家に買い取りに来てくれる）を試してみたらとても便利でした。

ダンボールに本詰めておくと取りに来てくれます。（ダンボールの販売もしているので同時に次の四半期分のダンボールを買うと良い）

それを記憶しておくのは無理なので、Googleカレンダーに３ヶ月毎の予定で宅配本の申し込み予定を入れる。来る前日に本を箱に詰めるという予定も入れておく。

これで本の事をさっぱり忘れても大丈夫。

※大量の本の箱詰めに対するソリューションは下記へ。

参照：<a href=""http://docs.komagata.org/4114"">大量の本管理ソリューションのご提案 - p0t</a>","2009-05-07 01:15:00","2009-05-07 02:02:31"
"4112","ネガはやめておけといっているサル","<blockquote><a href=""http://blog.livedoor.jp/tabbata/archives/50682491.html"">TABLOG:ブロガーと、コメント欄：　「ネガコメもブログの賑わい」 - livedoor Blog（ブログ）</a>

僕は、コメント欄にネガコメが来ても、割と、全然平気なんですが、世の中のブロガーは、そうでもない人も多いみたいですね。

ネガコメが、気になるブロガーの方には、下記の村上春樹の発言を紹介したいですね。

----------

結論から言うと、僕は自分に関する評論は一切読みません。

〜中略〜

小説家には好きに本を書く権利があるし、批評家には好きに批評をする権利があります。

ただし小説家の便利なところは「批評家はテキストを読まなくてはならない（たぶん）けれど、小説家は批評を読む義務はない。」ということですね。</blockquote>

僕も、コメント欄にネガコメが来ても、割と、全然平気なんですが、世の中のブロガーは、そうでもない人も多いみたいですね。

ネガコメが、気になるブロガーの方には、下記のブロントさんの発言を紹介したいですね。

<blockquote><a href=""http://www7.atwiki.jp/buront/pages/66.html"">ブロント様言行録 - とうとう侍までもがﾈｶﾞｷｬﾝ工作に参戦してきたか</a>

侍のネガは侍７５のおれからみていい加減にむかついた・・
（略）
ネガはやめておけといっているサル
（略）
おっととグーの音も出ないくらいに凹ませてしまった感
（略）
結論ネガうざすぎ</blockquote>

要するに、<a href=""http://www.geocities.jp/burontosan/right.html#9"">黄金の鉄の塊で出来ているナイトが皮装備のｼﾞｮﾌﾞに遅れをとるはずは無い</a>が、その逆は無いということです。ナイトと忍者の関係性も同じじゃないでしょうか。","2009-05-07 00:10:00","2009-05-07 00:27:54"
"4111","macでmkpasswd","portsにpwgenというのがあるそうです。

<pre><code>sudo port install pwgen</code></pre>

<pre><code>pwgen -h 
Usage: pwgen [ OPTIONS ] [ pw_length ] [ num_pw ]

Options supported by pwgen:
  -c or --capitalize
        Include at least one capital letter in the password
  -A or --no-capitalize
        Don't include capital letters in the password
  -n or --numerals
        Include at least one number in the password
  -0 or --no-numerals
        Don't include numbers in the password
  -y or --symbols
        Include at least one special symbol in the password
  -s or --secure
        Generate completely random passwords
  -B or --ambiguous
        Don't include ambiguous characters in the password
  -h or --help
        Print a help message
  -H or --sha1=path/to/file[#seed]
        Use sha1 hash of given file as a (not so) random generator
  -C
        Print the generated passwords in columns
  -1
        Don't print the generated passwords in columns
  -v or --no-vowels
        Do not use any vowels so as to avoid accidental nasty words</code></pre>

<pre><code>pwgen 8 1
meec8Ahn</code></pre>

ほぅ・・・。

参照：<a href=""http://www.syuhari.jp/blog/archives/809"">Mac OSX で mkpasswd が使えなくても pwgen がある | Sun Limited Mt.</a>","2009-05-06 11:23:00","2009-05-06 11:31:29"
"4110","今日の検索欄","ふと検索欄に目をやったとき、

<a href=""http://www.flickr.com/photos/komagata/3504071653/"" title=""検索欄 by komagata, on Flickr""><img src=""http://farm4.static.flickr.com/3324/3504071653_57d6c66b0d_o.png"" width=""246"" height=""52"" alt=""検索欄"" /></a>

知りたい事は何となく分かるが、何故これを検索する必要があったのかは、まったく思い出せない。","2009-05-06 00:51:00","2009-05-06 00:53:37"
